"subj_idx","Match_Bad","Match_Good","Match_Neutral","Mismatch_Bad","Mismatch_Good","Mismatch_Neutral","d_Bad","d_Good","d_Neutral"
"v010001",803.365384615385,736.796875,768.852459016393,835.037037037037,846.810344827586,830.152542372881,1.37048960937249,2.36447121775385,2.03086237840094
"v010003",744.224137931035,559.676470588235,798.5,746.975609756098,767.142857142857,718.147540983607,1.14198943791113,2.24951388974702,1.26066238399062
"v010004",649.16393442623,531.845070422535,670.448275862069,641.939393939394,638.314285714286,634.322580645161,2.40758651964074,4.11491640626559,1.94695902825093
"v010005",849.309523809524,599.845070422535,789.307692307692,813.2,718.970149253731,769.04,1.09094551820904,3.78668948212469,1.38805695619985
"v010006",880.694444444444,773.190476190476,805.222222222222,913.222222222222,921.761904761905,907.672727272727,0.961046181315414,1.61466885310599,2.03006640203578
"v010007",807.975609756098,610.898550724638,811.046511627907,772.753846153846,758.723076923077,728.656716417911,1.81040665863931,3.0292073247388,1.96461519005238
"v010009",694.981132075472,613.223880597015,679.08064516129,743.403225806452,732.428571428571,761.155172413793,1.71672680231652,2.28197206934059,2.00347269031969
"v010011",784.050847457627,712.338028169014,835.301886792453,817.089552238806,817.258620689655,831.719298245614,2.95435664901903,3.1040301087241,1.77229565118132
"v010015",691.183333333333,576.628571428571,720.651515151515,742.540983606557,706.234375,694.5,2.2007405541377,3.37219028883708,2.85255632707269
"v010017",701.970149253731,705.55223880597,797.2,830.890909090909,834.196078431373,819.083333333333,2.45984803552975,2.08843952353508,1.76975910841378
"v010019",875.3125,604.394366197183,868.446808510638,772.828125,749.34375,740.904761904762,1.27668284578019,3.49002922692644,1.83068077680689
"v010021",743.870967741935,605.585714285714,751.308823529412,815.150943396226,817.679245283019,811.016393442623,1.74877512461497,2.64716207195542,2.78873848237901
"v010023",727.724637681159,737.53125,817.042553191489,758.186440677966,846.888888888889,796.75,2.68973299373122,1.96410839591249,0.954681945914384
"v010025_NA",706.375,610.015625,683.440677966102,671.98275862069,716.88679245283,689.714285714286,1.04332982639592,1.92102053995617,1.76009927791437
"v010027",784.121951219512,669.242424242424,714.45,772.927272727273,780.241379310345,815.218181818182,1.02672452449247,2.48915541241122,1.88908674790857
"v010029_NA",777.783333333333,633.75,787.758620689655,770.590909090909,769.913793103448,774.727272727273,2.77924583038787,3.36374386507407,2.79312948784749
"v010031",642.491803278689,591.736111111111,626.741935483871,654.492753623188,630.909090909091,635.211267605634,2.75625678866234,3.84311846466064,3.28573548928679
"v010033",631.042553191489,579.707692307692,640.46511627907,694.72972972973,691.136363636364,655.955555555556,0.464510097478361,1.6256150361482,0.58659639429785
"v010035",712.72131147541,625,717.048780487805,735.769230769231,703.175438596491,729.22,1.66598613466608,2.80830645623505,0.71155219426706
"v010037",683.09375,693.421875,663.907692307692,758.779661016949,770.457627118644,754.293103448276,2.46759515786086,2.20286857240001,2.60840043240346
